agent_position,agent_value,asset_class,benchmark_return,buy_hold_value,close,daily_return,date,risk_style,ticker
0.8,100439.45819508773,mega-cap stock,0.005493227438596593,100549.32274385967,239.10353088378903,0.004394581950877274,2025-09-04,medium_volatility,AAPL
0.8,100409.30691505318,mega-cap stock,-0.00037524196884841654,100511.59241802689,239.0138092041016,-0.00030019357507873325,2025-09-05,medium_volatility,AAPL
0.8,99802.72325599387,mega-cap stock,-0.007551387387481956,99752.59044674567,237.20892333984372,-0.0060411099099855654,2025-09-08,medium_volatility,AAPL
0.8,98617.91434389936,mega-cap stock,-0.014839386058828619,98272.32324673819,233.6888885498047,-0.011871508847062895,2025-09-09,medium_volatility,AAPL
0.8,96072.81942042895,mega-cap stock,-0.03225954103271722,95102.10320257959,226.1501922607422,-0.02580763282617378,2025-09-10,medium_volatility,AAPL
0.8,97170.84494969758,mega-cap stock,0.014286370691166894,96460.76710244126,229.3810577392578,0.011429096552933516,2025-09-11,medium_volatility,AAPL
0.8,98536.13621320605,mega-cap stock,0.017563026031820916,98154.91006611085,233.40968322753903,0.014050420825456733,2025-09-12,medium_volatility,AAPL
0.8,99421.84682211492,mega-cap stock,0.01123586030144863,99257.76492351493,236.03224182128903,0.008988688241158905,2025-09-15,medium_volatility,AAPL
0.8,99909.08467436225,mega-cap stock,0.006125890181851723,99865.80709113243,237.4781494140625,0.0049007121454813785,2025-09-16,medium_volatility,AAPL
0.8,100191.00869555272,mega-cap stock,0.003527257082143187,100218.05946645858,238.3157958984375,0.0028218056657145496,2025-09-17,medium_volatility,AAPL
0.8,99818.73399097477,mega-cap stock,-0.004644562289381371,99752.59044674569,237.20892333984372,-0.003715649831505097,2025-09-18,medium_volatility,AAPL
0.8,102376.72275028407,mega-cap stock,0.03203292429480942,102947.95762473742,244.8074188232422,0.025626339435847537,2025-09-19,medium_volatility,AAPL
0.8,105906.31773376836,mega-cap stock,0.04309567263758818,107384.5691052414,255.3575592041016,0.034476538110070544,2025-09-22,medium_volatility,AAPL
0.8,105360.4156449759,mega-cap stock,-0.00644321911659651,106692.66679675503,253.7122344970703,-0.005154575293277209,2025-09-23,medium_volatility,AAPL
0.8,104658.08743464216,mega-cap stock,-0.008332448743135101,105803.65561940268,251.5981903076172,-0.006665958994508081,2025-09-24,medium_volatility,AAPL
0.8,106171.27602783227,mega-cap stock,0.018073001216163398,107715.84521608667,256.14532470703125,0.014458400972930718,2025-09-25,medium_volatility,AAPL
0.8,105705.04870515694,mega-cap stock,-0.0054890943685314,107124.58277670945,254.73931884765625,-0.00439127549482512,2025-09-26,medium_volatility,AAPL
0.8,105364.0946607036,mega-cap stock,-0.0040319034973952395,106692.66679675503,253.7122344970703,-0.0032255227979161917,2025-09-29,medium_volatility,AAPL
0.8,105430.35243963578,mega-cap stock,0.0007860573749713939,106776.53335434599,253.9116668701172,0.0006288458999771152,2025-09-30,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.0032203038937570483,107120.38624046887,254.72933959960935,0.0,2025-10-01,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.006576637201686886,107824.87815767701,256.40460205078125,0.0,2025-10-02,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.0034612549164674267,108198.08754731777,257.2920837402344,0.0,2025-10-03,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,-0.005154640398047916,107640.36531425484,255.96583557128903,-0.0,2025-10-06,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,-0.0008180041021813578,107552.31505386748,255.75645446777344,-0.0,2025-10-07,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.006160338232429563,108214.87369228013,257.3320007324219,0.0,2025-10-08,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,-0.015577920734133444,106529.11096764753,253.32330322265625,-0.0,2025-10-09,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,-0.034521987862036085,102851.51429186891,244.5780792236328,-0.0,2025-10-10,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.009744352447480065,103853.73569688591,246.9613342285156,0.0,2025-10-13,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.0004441188177246591,103899.8590951999,247.07101440429688,0.0,2025-10-14,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.006336506208048043,104558.22119737195,248.63658142089844,0.0,2025-10-15,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,-0.007580035333075941,103765.66618633231,246.7519073486328,-0.0,2025-10-16,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.01955948293789933,105795.26896364364,251.5782470703125,0.0,2025-10-17,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.039438767662544505,109967.70399609719,261.50018310546875,0.0,2025-10-20,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.002021044160246621,110189.95358207423,262.0286865234375,0.0,2025-10-21,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,-0.01644018580608131,108378.41027122145,257.72088623046875,-0.0,2025-10-22,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.004372055505519334,108852.24669652717,258.84765625,0.0,2025-10-23,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.012481843733494147,110210.92342983298,262.0785522460937,0.0,2025-10-24,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.022791195406501874,112722.76212165332,268.0516357421875,0.0,2025-10-27,medium_volatility,AAPL
0.0,105430.35243963578,mega-cap stock,0.0007067784700340862,112802.43214300368,268.2410888671875,0.0,2025-10-28,medium_volatility,AAPL
0.8,105649.84637429896,mega-cap stock,0.0026023570250897077,113095.98434473823,268.93914794921875,0.0020818856200717664,2025-10-29,medium_volatility,AAPL
0.8,106182.59620960515,mega-cap stock,0.006303249053230431,113808.85650098337,270.63433837890625,0.005042599242584345,2025-10-30,medium_volatility,AAPL
0.8,105860.21257198525,mega-cap stock,-0.0037951562818203666,113376.93410430687,269.60723876953125,-0.0030361250254562935,2025-10-31,medium_volatility,AAPL
0.8,105446.75514968313,mega-cap stock,-0.004882115436205092,112823.41482420663,268.2909851074219,-0.003905692348964074,2025-11-03,medium_volatility,AAPL
0.8,105757.15968052638,mega-cap stock,0.0036796358788213634,113238.56390936492,269.2781982421875,0.002943708703057091,2025-11-04,medium_volatility,AAPL
0.8,105788.48516325328,mega-cap stock,0.00037025250608935245,113280.49077143833,269.3778991699219,0.000296202004871482,2025-11-05,medium_volatility,AAPL
0.8,105672.56932249255,mega-cap stock,-0.0013696651457605347,113125.33443153404,269.0089416503906,-0.0010957321166084279,2025-11-06,medium_volatility,AAPL
0.8,105265.18936010567,mega-cap stock,-0.004818894404181151,112580.19539047079,267.7126159667969,-0.003855115523344921,2025-11-07,medium_volatility,AAPL
0.8,105648.23511581188,mega-cap stock,0.004548580566314353,113092.27547937576,268.9303283691406,0.0036388644530514825,2025-11-10,medium_volatility,AAPL
0.8,107473.94332390494,mega-cap stock,0.021601262506795837,115535.21140949662,274.73956298828125,0.01728101000543667,2025-11-11,medium_volatility,AAPL
0.8,106917.93753340413,mega-cap stock,-0.006466751071293797,114788.0739573421,272.962890625,-0.005173400857035038,2025-11-12,medium_volatility,AAPL
0.8,106755.28314046623,mega-cap stock,-0.001901626573266424,114569.78990561074,272.4438171386719,-0.0015213012586131392,2025-11-13,medium_volatility,AAPL
0.8,106586.32941875108,mega-cap stock,-0.001978282909578022,114343.13844828653,271.90484619140625,-0.0015826263276624176,2025-11-14,medium_volatility,AAPL
0.8,105036.88206726334,mega-cap stock,-0.01817127205638569,112265.37817176174,266.9639892578125,-0.014537017645108553,2025-11-17,medium_volatility,AAPL
0.8,105030.59993698422,mega-cap stock,-7.47610048428271e-05,112256.98509928056,266.94403076171875,-5.9808803874261686e-05,2025-11-18,medium_volatility,AAPL
0.8,105382.49094580887,mega-cap stock,0.004187958188325291,112727.1126592238,268.0619812011719,0.003350366550660233,2025-11-19,medium_volatility,AAPL
0.8,104657.33610471283,mega-cap stock,-0.008601462569680418,111757.49461909734,265.7562561035156,-0.006881170055744335,2025-11-20,medium_volatility,AAPL
0.8,106305.11539468511,mega-cap stock,0.019680647235321702,113956.95444659916,270.98651123046875,0.01574451778825736,2025-11-21,medium_volatility,AAPL
0.8,107692.82930214652,mega-cap stock,0.016317581500066458,115816.45633828091,275.4083557128906,0.013054065200053167,2025-11-24,medium_volatility,AAPL
0.8,108020.66984796821,mega-cap stock,0.0038052736187974556,116257.16964420758,276.45635986328125,0.0030442188950379648,2025-11-25,medium_volatility,AAPL
0.6,108156.3985888285,mega-cap stock,0.002094178534708613,116500.63291338245,277.0353088378906,0.0012565071208251676,2025-11-26,medium_volatility,AAPL
0.6,108460.34810078672,mega-cap stock,0.0046837961187689015,117046.29812565626,278.3328857421875,0.0028102776712613407,2025-11-28,medium_volatility,AAPL
0.6,109452.18744848929,mega-cap stock,0.01524119743713337,118830.22386467496,282.57501220703125,0.009144718462280021,2025-12-01,medium_volatility,AAPL
0.6,110168.97884884392,mega-cap stock,0.010914832876105063,120127.23589878804,285.6592712402344,0.006548899725663038,2025-12-02,medium_volatility,AAPL
0.6,109697.79772865612,mega-cap stock,-0.007128157809805358,119270.95000404576,283.623046875,-0.004276894685883215,2025-12-03,medium_volatility,AAPL
0.6,108898.66156660535,mega-cap stock,-0.012141479874668626,117822.82416493904,280.179443359375,-0.007284887924801175,2025-12-04,medium_volatility,AAPL
0.6,108451.73784987156,mega-cap stock,-0.006840055245008081,117016.90953852798,278.26300048828125,-0.004104033147004848,2025-12-05,medium_volatility,AAPL
0.6,108244.0028598985,mega-cap stock,-0.003192433705098474,116643.34081245073,277.3746643066406,-0.0019154602230590843,2025-12-08,medium_volatility,AAPL
0.6,108078.06786336504,mega-cap stock,-0.0025549528865235205,116345.3225721482,276.6659851074219,-0.0015329717319141122,2025-12-09,medium_volatility,AAPL
0.6,108452.38710606705,mega-cap stock,0.005772358970110858,117016.90953852798,278.26300048828125,0.0034634153820665148,2025-12-10,medium_volatility,AAPL
0.6,108277.32888317564,mega-cap stock,-0.002690246960942222,116702.10515326311,277.514404296875,-0.001614148176565333,2025-12-11,medium_volatility,AAPL
0.6,108335.7398240414,mega-cap stock,0.0008990946591842519,116807.03139272197,277.763916015625,0.0005394567955105511,2025-12-12,medium_volatility,AAPL
0.6,107361.70028234832,mega-cap stock,-0.014984890847580368,115056.69077707213,273.6016540527344,-0.00899093450854822,2025-12-15,medium_volatility,AAPL
0.6,107479.20518067449,mega-cap stock,0.0018241281266524467,115266.56892287814,274.1007385253906,0.001094476875991468,2025-12-16,medium_volatility,AAPL
0.6,106828.71767385387,mega-cap stock,-0.010087028861802239,114103.87171535216,271.3358764648437,-0.006052217317081343,2025-12-17,medium_volatility,AAPL
0.6,106911.24765213991,mega-cap stock,0.001287574790797441,114250.78898410522,271.68524169921875,0.0007725448744784646,2025-12-18,medium_volatility,AAPL
0.6,107260.03990803356,mega-cap stock,0.005437411303821804,114872.01751559795,273.1625061035156,0.0032624467822930823,2025-12-19,medium_volatility,AAPL
0.6,106625.10666495092,mega-cap stock,-0.009865948891234266,113738.6960617561,270.4674987792969,-0.0059195693347405594,2025-12-22,medium_volatility,AAPL
0.6,106953.28038472404,mega-cap stock,0.005129713035979089,114322.14293363935,271.8549194335937,0.003077827821587453,2025-12-23,medium_volatility,AAPL
0.6,107294.91791063543,mega-cap stock,0.005323781322749577,114930.76902296617,273.3022155761719,0.003194268793649746,2025-12-24,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.0014972809650133367,114758.68537021373,272.8930053710937,-0.0,2025-12-26,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.0013167962364344366,114909.79917520739,273.2523498535156,0.0,2025-12-29,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.0024841597541549465,114624.34487673831,272.57354736328125,-0.0,2025-12-30,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.004467463604312272,114112.26478783334,271.3558349609375,-0.0,2025-12-31,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.00312648029845064,113755.4950401626,270.5074462890625,-0.0,2026-01-02,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.013837112595369017,112181.44744694993,266.764404296875,-0.0,2026-01-05,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.018334268354402772,110124.68268507221,261.8734741210937,-0.0,2026-01-06,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.007737496605900951,109272.59332657055,259.84722900390625,-0.0,2026-01-07,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.0049552102640688656,108731.12465053731,258.55963134765625,-0.0,2026-01-08,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.0012738888084979916,108869.63601336503,258.8890075683594,0.0,2026-01-09,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.003392793467145605,109239.0082032017,259.7673645019531,0.0,2026-01-12,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.00307399257312313,109574.80810311367,260.5658874511719,0.0,2026-01-13,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.004175458991876879,109117.28298533634,259.4779052734375,-0.0,2026-01-14,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.006731727764257678,108382.73514190358,257.7311706542969,-0.0,2026-01-15,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.010379221191344046,107257.80676054291,255.05612182617188,-0.0,2026-01-16,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.034555586545020445,103551.4503363999,246.2425079345703,-0.0,2026-01-20,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.0038508468560267684,103950.21111336483,247.1907501220703,0.0,2026-01-21,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.002826561879143208,104244.03281742675,247.8894500732422,0.0,2026-01-22,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.0012482700788881695,104113.90811035811,247.58001708984372,-0.0,2026-01-23,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.029713035188522863,107207.44832565582,254.93637084960935,0.0,2026-01-26,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.011197599163490057,108407.91435934708,257.7910461425781,0.0,2026-01-27,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.007085580156587223,107639.78139254548,255.9644470214844,-0.0,2026-01-28,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.0071751307281611165,108412.11089558768,257.801025390625,0.0,2026-01-29,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.004646276870277299,108915.82357889978,258.99884033203125,0.0,2026-01-30,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.040581019583889155,113335.73874855053,269.50927734375,0.0,2026-02-02,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.0019627958800989553,113113.2838274669,268.98028564453125,-0.0,2026-02-03,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.02601286642781786,116055.68457088266,275.97723388671875,0.0,2026-02-04,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.002097593092373451,115812.2469685961,275.3983459472656,-0.0,2026-02-05,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.008009748840153375,116739.87397942836,277.6042175292969,0.0,2026-02-06,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.01166048390953256,115378.63055729038,274.3672180175781,-0.0,2026-02-09,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.003422959769044165,114983.69414668536,273.4280700683594,-0.0,2026-02-10,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.006650117732854843,115748.34925011938,275.24639892578125,0.0,2026-02-11,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.04998173910671744,109963.0454558667,261.4891052246094,-0.0,2026-02-12,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.022733450234726726,107463.20603433676,255.5445556640625,-0.0,2026-02-13,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.03166790148756515,110866.34025657005,263.6371154785156,0.0,2026-02-17,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.0017811375828364895,111063.80846187257,264.106689453125,0.0,2026-02-18,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,-0.014261551090285374,109479.8662832119,260.3401184082031,-0.0,2026-02-19,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.015350449692731916,111160.43146295936,264.3364562988281,0.0,2026-02-20,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.006047257970275721,111832.64726810303,265.9349670410156,0.0,2026-02-23,medium_volatility,AAPL
0.0,107294.91791063543,mega-cap stock,0.02239103564464129,114336.69605931772,271.8895263671875,0.0,2026-02-24,medium_volatility,AAPL
0.8,107954.12594264894,mega-cap stock,0.007679860855135612,115214.78597568921,273.97760009765625,0.00614388868410849,2026-02-25,medium_volatility,AAPL
0.8,107551.00989685397,mega-cap stock,-0.0046676776162442035,114677.00049813012,272.6987609863281,-0.003734142092995363,2026-02-26,medium_volatility,AAPL
0.8,104786.48050343622,mega-cap stock,-0.03213044438249635,110992.37751167345,263.93682861328125,-0.02570435550599708,2026-02-27,medium_volatility,AAPL
