community,asset
ETF_Core,SPY
ETF_Core,VOO
ETF_Core,IVV
MegaCap_Tech,AAPL
MegaCap_Tech,MSFT
MegaCap_Tech,QQQ
AI_Semiconductor,NVDA
AI_Semiconductor,AMD
HighBeta_Growth,TSLA
HighBeta_Growth,NVDA
HighBeta_Growth,AMD
